ID_GPS	Fecha	Xlocal	Ylocal	X	Y	Altura elipsoidal	id_suelo_raiz	Nº	Marco	COD	GLUC	FOSF	N	P	K	C	pH	COND	Arena	Limo	Arcilla
GPS0231	10/07/2016 10:09	488513,9886	4457838,225	8,7171	4,0629	764,4656	S126	126	Aleatorio	A17	0,184907320	0,281036462	0,467999241	0,092474208	0,012623474	0,770237628	8,16	111,6	37,09460205	49,5959819	13,30941605
GPS0223	10/07/2016 10:06	488511,4595	4457836,537	6,188	2,3754	764,336	S127	127	Aleatorio	A18	0,304701361	0,250676893	0,396920769	0,084846852	0,010732445	0,907872269	8,19	117,3	35,48494612	52,92967448	11,5853794
GPS0222	10/07/2016 10:06	488510,6848	4457836,051	5,4133	1,8891	764,3327	S128	128	Aleatorio	A19	0,587364667	0,550799013	0,355527844	0,062737014	0,012127835	1,230918932	8,08	123,3	40,04354975	49,75669911	10,19975114
GPS0209	10/07/2016 10:03	488509,7735	4457835,47	4,502	1,3081	764,2309	S129	129	Aleatorio	A20	0,234322454	0,305376806	0,414936252	0,063940441	0,011954142	1,390578900	8,16	118,7	33,92224972	48,58893118	17,4888191
GPS0210	10/07/2016 10:03	488508,8999	4457834,847	3,6284	0,6856	764,2016	S130	130	Borde	B23	0,577713780	0,744103242	0,418975490	0,053174848	0,009112311	1,775477542	8,11	131,1	35,32868282	47,33965743	17,33165974
GPS0232	10/07/2016 10:09	488515,4794	4457838,627	10,2079	4,4655	764,6332	S131	131	Regular	R57	0,188145223	0,340465619	0,459903643	0,111175877	0,006394200	0,856514774	8,23	111,1	37,03995823	51,60243948	11,35760228
GPS0235	10/07/2016 10:10	488514,7032	4457838,086	9,4317	3,9245	764,6453	S132	132	Regular	R58	0,348937810	0,318159805	0,391114619	0,095827407	0,010030741	0,855732530	8,22	116,9	39,39848288	48,94101445	11,66050267
GPS0237	10/07/2016 10:11	488513,8393	4457837,537	8,5678	3,3749	764,5739	S133	133	Regular	R59	0,378465774	0,394424842	0,250230647	0,071598412	0,009277161	0,653682052	8,23	105,3	42,15677561	47,37040905	10,47281534
GPS0239	10/07/2016 10:12	488513,0117	4457836,964	7,7402	2,8022	764,5724	S134	134	Regular	R60	0,362685644	0,319681997	0,516769087	0,101920344	0,009131614	0,818127154	8,24	96,5	40,24170795	48,60484749	11,15344456
GPS0241	10/07/2016 10:12	488512,1411	4457836,467	6,8696	2,3054	764,5757	S135	135	Regular	R61	0,694917730	0,856613019	0,899302181	0,090073191	0,010492791	1,871273338	8,11	117,9	34,78729312	53,37887371	11,83383317
GPS0243	10/07/2016 10:13	488511,2837	4457835,896	6,0122	1,7347	764,4658	S136	136	Regular	R62	0,455000324	1,071747467	0,867243332	0,119086325	0,012533042	2,212107696	8,04	132,7	36,06104169	48,70507575	15,23388256
